'first_name_kaniji', 'first_name_kana', 'gender'
'碧', '', 'boy'
'陽翔', '', 'boy'
'暖', '', 'boy'
'律', '', 'boy'
'蒼', '', 'boy'
'颯真', '', 'boy'
'蓮', '', 'boy'
'凪', '', 'boy'
'湊', '', 'boy'
'湊斗', '', 'boy'
'蒼空', '', 'boy'
'颯', '', 'boy'
'結翔', '', 'boy'
'想', '', 'boy'
'朝陽', '', 'boy'
'伊織', '', 'boy'
'翠', '', 'boy'
'陽向', '', 'boy'
'碧斗', '', 'boy'
'新', '', 'boy'
'朔', '', 'boy'
'樹', '', 'boy'
'晴', '', 'boy'
'大翔', '', 'boy'
'陽大', '', 'boy'
'陽斗', '', 'boy'
'颯太', '', 'boy'
'大和', '', 'boy'
'楓', '', 'boy'
'琉生', '', 'boy'
'岳', '', 'boy'
'蒼大', '', 'boy'
'悠真', '', 'boy'
'伊吹', '', 'boy'
'結斗', '', 'boy'
'一颯', '', 'boy'
'蒼生', '', 'boy'
'湊音', '', 'boy'
'陽', '', 'boy'
'陽太', '', 'boy'
'奏', '', 'boy'
'楓真', '', 'boy'
'湊大', '', 'boy'
'悠翔', '', 'boy'
'颯汰', '', 'boy'
'奏翔', '', 'boy'
'歩', '', 'boy'
'悠', '', 'boy'
'葵', '', 'boy'
'旭', '', 'boy'
'叶翔', '', 'boy'
'善', '', 'boy'
'蒼真', '', 'boy'
'藍', '', 'boy'
'陸', '', 'boy'
'律希', '', 'boy'
'琉翔', '', 'boy'
'颯斗', '', 'boy'
'海翔', '', 'boy'
'仁', '', 'boy'
'晴翔', '', 'boy'
'千颯', '', 'boy'
'大雅', '', 'boy'
'悠斗', '', 'boy'
'悠陽', '', 'boy'
'陸斗', '', 'boy'
'昴', '', 'boy'
'颯', '', 'boy'
'海斗', '', 'boy'
'空', '', 'boy'
'絃', '', 'boy'
'心', '', 'boy'
'晴斗', '', 'boy'
'奏多', '', 'boy'
'大晴', '', 'boy'
'悠誠', '', 'boy'
'廉', '', 'boy'
'凛', '', 'boy'
'櫂', '', 'boy'
'翔太', '', 'boy'
'葵生', '', 'boy'
'絢斗', '', 'boy'
'綾', '', 'boy'
'一心', '', 'boy'
'響', '', 'boy'
'源', '', 'boy'
'光', '', 'boy'
'光希', '', 'boy'
'迅', '', 'boy'
'千隼', '', 'boy'
'奏太', '', 'boy'
'奏汰', '', 'boy'
'想生', '', 'boy'
'蒼士', '', 'boy'
'大智', '', 'boy'
'斗碧', '', 'boy'
'柊', '', 'boy'
'湊翔', '', 'boy'
'唯斗', '', 'boy'
'優', '', 'boy'
'悠', '', 'boy'
'陽奏', '', 'boy'
'理仁', '', 'boy'
'涼真', '', 'boy'
'類', '', 'boy'
'蓮翔', '', 'boy'
'翔真', '', 'boy'
'翔琉', '', 'boy'
